t x y z yaw pitch roll vx vy vz wx wy wz
1.197 -4.00001 -4 2 0.75 5.0742e-10 -1.36983e-09 -8.56206e-11 6.87139e-10 -1.05417e-08 2.62315e-08 5.37358e-08 -4.01004e-09
1.207 -4.00001 -4 2 0.75 6.52477e-10 -5.93802e-10 -1.1488e-10 8.11311e-10 -1.12175e-08 6.39211e-08 7.07648e-08 -4.79739e-09
1.217 -4.00001 -4 2 0.75 6.5401e-10 5.17215e-10 -7.90133e-11 8.72544e-10 -1.12422e-08 9.12742e-08 7.66893e-08 -5.38469e-09
1.227 -4.00001 -4 2 0.75 5.21208e-10 1.71377e-09 4.02745e-11 8.43317e-10 -1.06657e-08 9.88809e-08 6.58994e-08 -5.33673e-09
1.237 -4.00001 -4 2 0.75 2.94718e-10 2.68226e-09 2.03326e-10 7.28883e-10 -1.07301e-08 9.07781e-08 4.44475e-08 -5.01414e-09
1.247 -4.00001 -4 2 0.75 -8.07514e-11 3.47602e-09 4.69438e-10 4.81439e-10 -1.24174e-08 6.10285e-08 6.02925e-09 -4.65992e-09
1.257 -4.00001 -4 2 0.75 -4.58902e-10 3.69625e-09 7.05298e-10 1.947e-10 -1.39103e-08 2.61261e-08 -2.56238e-08 -4.73835e-09
1.267 -4.00001 -4 2 0.75 -7.77575e-10 3.48533e-09 9.11638e-10 -1.17357e-10 -1.44804e-08 -1.02466e-08 -4.65719e-08 -5.38844e-09
1.277 -4.00001 -4 2 0.75 -9.78587e-10 2.93021e-09 1.07173e-09 -4.16681e-10 -1.4384e-08 -3.65821e-08 -5.3961e-08 -5.86899e-09
1.287 -4.00001 -4 2 0.75 -1.05737e-09 2.29823e-09 1.17663e-09 -6.78446e-10 -1.3751e-08 -4.20325e-08 -4.25832e-08 -5.65039e-09
1.297 -4.00001 -4 2 0.75 -1.00563e-09 1.8003e-09 1.247e-09 -8.99977e-10 -1.31575e-08 -3.70915e-08 -1.86495e-08 -5.04646e-09
1.307 -4.00001 -4 2 0.75 -8.33292e-10 1.5656e-09 1.27945e-09 -1.06228e-09 -1.28021e-08 -2.76934e-08 8.79727e-09 -4.3485e-09
1.318 -4.00001 -4 2 0.75 -4.54107e-10 1.61163e-09 1.33009e-09 -1.22905e-09 -1.20275e-08 -1.51209e-08 4.19279e-08 -3.63001e-09
