t wx wy wz ax ay az
0.231 -0.0943636 -0.110073 -0.221977 -0.000731547 -0.00990124 12.345
0.232 -0.0926345 -0.109942 -0.222678 -0.000750633 -0.00992013 12.3366
0.233 -0.090861 -0.109784 -0.223377 -0.000769975 -0.00993875 12.3282
0.234 -0.0890453 -0.109592 -0.224076 -0.000789533 -0.00995712 12.3198
0.235 -0.0871856 -0.109372 -0.224775 -0.000809266 -0.00997524 12.3114
0.236 -0.0852811 -0.109126 -0.225471 -0.000829133 -0.00999313 12.303
0.237 -0.0833311 -0.108849 -0.226166 -0.000849099 -0.0100108 12.2946
0.238 -0.0813404 -0.108544 -0.226862 -0.000869126 -0.0100282 12.2861
0.239 -0.0793032 -0.108213 -0.227554 -0.000889185 -0.0100454 12.2777
0.24 -0.0772243 -0.107854 -0.228248 -0.000909248 -0.0100625 12.2693
0.241 -0.0751022 -0.10747 -0.228943 -0.000929291 -0.0100792 12.261
0.242 -0.0729362 -0.107057 -0.229635 -0.000949295 -0.0100958 12.2526
0.243 -0.0707252 -0.10662 -0.230327 -0.000969242 -0.0101122 12.2442
0.244 -0.0684711 -0.106161 -0.231019 -0.000989124 -0.0101284 12.2358
0.245 -0.0661728 -0.105675 -0.231709 -0.00100894 -0.0101444 12.2275
0.246 -0.0638299 -0.105167 -0.232399 -0.00102867 -0.0101602 12.2192
0.247 -0.0614451 -0.104636 -0.233091 -0.00104834 -0.0101759 12.2108
0.248 -0.0590185 -0.104082 -0.23378 -0.00106795 -0.0101914 12.2026
0.249 -0.0565472 -0.103504 -0.234469 -0.0010875 -0.0102068 12.1943
0.25 -0.0540343 -0.102903 -0.235155 -0.00110701 -0.010222 12.186
0.251 -0.0514765 -0.102282 -0.235842 -0.0011265 -0.0102371 12.1778
0.252 -0.048877 -0.101637 -0.236527 -0.00114597 -0.0102522 12.1696
0.253 -0.0462329 -0.100968 -0.23721 -0.00116544 -0.0102672 12.1614
0.254 -0.0435479 -0.100279 -0.237894 -0.00118494 -0.0102822 12.1532
0.255 -0.040818 -0.0995668 -0.238578 -0.00120446 -0.0102971 12.1451
0.256 -0.0380453 -0.0988343 -0.239258 -0.00122404 -0.0103121 12.137
0.257 -0.0352319 -0.0980802 -0.23994 -0.00124368 -0.0103271 12.1289
0.258 -0.0323761 -0.0973011 -0.240621 -0.0012634 -0.0103422 12.1208
0.259 -0.029481 -0.0965001 -0.241302 -0.0012832 -0.0103573 12.1128
0.26 -0.0265431 -0.0956771 -0.24198 -0.00130309 -0.0103726 12.1048
0.261 -0.0235694 -0.0948264 -0.24266 -0.00132307 -0.010388 12.0968
0.262 -0.0205543 -0.0939525 -0.243337 -0.00134315 -0.0104035 12.0889
0.263 -0.0174996 -0.0930547 -0.244014 -0.00136332 -0.0104192 12.081
0.264 -0.0144041 -0.0921328 -0.244691 -0.00138358 -0.0104351 12.0731
0.265 -0.0112735 -0.0911828 -0.245368 -0.00140392 -0.0104511 12.0653
0.266 -0.00810593 -0.0902086 -0.246045 -0.00142433 -0.0104673 12.0575
0.267 -0.00489888 -0.0892118 -0.24672 -0.00144481 -0.0104837 12.0497
0.268 -0.0016546 -0.0881889 -0.247392 -0.00146533 -0.0105003 12.042
0.269 0.00162379 -0.0871393 -0.248066 -0.00148588 -0.010517 12.0343
0.27 0.00493889 -0.0860653 -0.248739 -0.00150644 -0.010534 12.0267
0.271 0.00828888 -0.0849666 -0.24941 -0.00152669 -0.0105515 12.0193
0.272 0.0116758 -0.0838412 -0.250083 -0.00154723 -0.0105688 12.0117
0.273 0.0150988 -0.0826888 -0.250753 -0.00156772 -0.0105863 12.0042
0.274 0.0185557 -0.0815131 -0.251421 -0.00158785 -0.0106043 11.9969
0.275 0.0220489 -0.0803121 -0.25209 -0.0016082 -0.0106222 11.9894
0.276 0.0255751 -0.0790839 -0.25276 -0.00162846 -0.0106402 11.982
0.277 0.0291375 -0.0778295 -0.253429 -0.0016486 -0.0106583 11.9746
0.278 0.0327356 -0.0765521 -0.254097 -0.0016686 -0.0106767 11.9672
0.279 0.0363676 -0.0752492 -0.254763 -0.00168846 -0.0106953 11.9599
0.28 0.0400336 -0.0739231 -0.255429 -0.00170814 -0.0107141 11.9527
0.281 0.0437339 -0.0725696 -0.256096 -0.00172764 -0.0107331 11.9454
0.282 0.0474691 -0.0711954 -0.25676 -0.00174666 -0.0107528 11.9385
0.283 0.051238 -0.0697975 -0.257423 -0.00176547 -0.0107726 11.9316
0.284 0.0550388 -0.0683768 -0.258088 -0.00178434 -0.0107925 11.9245
0.285 0.0588739 -0.0669342 -0.258751 -0.00180297 -0.0108127 11.9174
0.286 0.0627418 -0.0654677 -0.259415 -0.00182136 -0.0108332 11.9104
0.287 0.0666425 -0.063981 -0.260077 -0.00183949 -0.0108541 11.9034
0.288 0.0705727 -0.0624699 -0.260741 -0.00185736 -0.0108754 11.8965
0.289 0.0745347 -0.0609408 -0.261401 -0.00187496 -0.0108971 11.8896
0.29 0.0785275 -0.0593886 -0.26206 -0.00189227 -0.0109193 11.8828
0.291 0.0825479 -0.0578162 -0.26272 -0.00190929 -0.010942 11.876
0.292 0.086597 -0.0562241 -0.263379 -0.00192602 -0.0109653 11.8693
0.293 0.0906751 -0.0546108 -0.264038 -0.00194244 -0.0109891 11.8626
0.294 0.0947805 -0.0529776 -0.264696 -0.00195855 -0.0110134 11.8559
0.295 0.0989099 -0.0513262 -0.265355 -0.00197436 -0.0110383 11.8493
0.296 0.103066 -0.0496549 -0.266014 -0.00198984 -0.0110639 11.8428
0.297 0.107248 -0.0479659 -0.266671 -0.00200501 -0.01109 11.8363
0.298 0.111452 -0.0462563 -0.267331 -0.00201987 -0.0111167 11.8298
0.299 0.115682 -0.0445292 -0.267987 -0.0020344 -0.011144 11.8234
0.3 0.119933 -0.0427883 -0.26864 -0.00204863 -0.011172 11.8171
0.301 0.124206 -0.0410267 -0.269297 -0.00206255 -0.0112004 11.8108
0.302 0.128502 -0.0392482 -0.269951 -0.00207616 -0.0112295 11.8045
0.303 0.132817 -0.0374524 -0.270606 -0.00208948 -0.0112591 11.7983
0.304 0.137152 -0.0356401 -0.271263 -0.00210252 -0.0112892 11.7922
0.305 0.141511 -0.0338089 -0.271917 -0.00211528 -0.0113198 11.7861
0.306 0.145889 -0.0319609 -0.272568 -0.00212778 -0.0113509 11.78
0.307 0.150287 -0.0300948 -0.273221 -0.00214002 -0.0113824 11.774
0.308 0.154706 -0.0282129 -0.273874 -0.00215203 -0.0114144 11.768
0.309 0.159145 -0.0263135 -0.274527 -0.00216382 -0.0114468 11.7621
0.31 0.163607 -0.024395 -0.275182 -0.00217539 -0.0114795 11.7562
0.311 0.168088 -0.0224588 -0.275833 -0.00218676 -0.0115127 11.7504
0.312 0.17259 -0.0205063 -0.276486 -0.00219794 -0.0115461 11.7447
0.313 0.177112 -0.0185331 -0.277136 -0.00220894 -0.01158 11.7389
0.314 0.181657 -0.0165418 -0.277788 -0.00221976 -0.0116142 11.7333
0.315 0.186224 -0.0145301 -0.27844 -0.00223041 -0.0116487 11.7276
0.316 0.190812 -0.0124983 -0.279089 -0.00224088 -0.0116837 11.7221
0.317 0.195422 -0.0104502 -0.27974 -0.00225117 -0.011719 11.7165
0.318 0.200054 -0.00837911 -0.28039 -0.00226128 -0.0117547 11.7111
0.319 0.204708 -0.00628839 -0.281042 -0.0022712 -0.0117908 11.7056
0.32 0.209385 -0.00417701 -0.281694 -0.0022809 -0.0118274 11.7003
0.321 0.214082 -0.00204756 -0.282343 -0.00229037 -0.0118645 11.6949
0.322 0.218798 0.000103341 -0.282993 -0.00229958 -0.0119021 11.6897
0.323 0.223536 0.00227446 -0.283641 -0.00230851 -0.0119402 11.6844
0.324 0.228294 0.00446502 -0.28429 -0.00231712 -0.011979 11.6792
0.325 0.233071 0.00667311 -0.284939 -0.00232538 -0.0120184 11.6741
0.326 0.237869 0.00890394 -0.285586 -0.00233325 -0.0120585 11.669
0.327 0.242682 0.0111535 -0.286235 -0.00234069 -0.0120993 11.664
0.328 0.247512 0.0134224 -0.286883 -0.00234767 -0.0121408 11.659
0.329 0.25236 0.0157067 -0.287533 -0.00235414 -0.0121832 11.6541
0.33 0.257221 0.0180078 -0.288183 -0.00236006 -0.0122263 11.6492
0.331 0.262094 0.0203251 -0.28883 -0.0023654 -0.0122703 11.6444
0.332 0.266983 0.0226593 -0.289478 -0.00237012 -0.0123152 11.6396
0.333 0.271882 0.0250052 -0.290129 -0.00237419 -0.0123609 11.6349
0.334 0.276791 0.0273638 -0.290779 -0.00237758 -0.0124075 11.6302
0.335 0.281709 0.0297372 -0.291426 -0.00238028 -0.0124549 11.6256
0.336 0.286635 0.0321227 -0.292075 -0.00238226 -0.0125032 11.621
0.337 0.29157 0.0345172 -0.292723 -0.00238352 -0.0125524 11.6165
0.338 0.296511 0.0369198 -0.293372 -0.0023839 -0.0126026 11.6119
0.339 0.301458 0.0393288 -0.294021 -0.00238304 -0.0126542 11.6071
0.34 0.306401 0.0417452 -0.294669 -0.00238095 -0.0127073 11.602
