t wx wy wz ax ay az
0.24 -0.0130969 -0.00113387 -0.00228716 -0.120352 -0.344881 10.1146
0.241 -0.00319695 0.0207431 0.0208488 -0.1633 -0.261437 9.80069
0.242 0.00866569 0.0105579 -0.0294856 -0.304878 -0.163557 9.97803
0.243 0.00943462 0.00557764 0.0234215 -0.417436 -0.245893 10.0226
0.244 0.013229 0.0207229 -0.00845124 -0.321104 -0.0916768 9.93203
0.245 -0.00765732 0.00765584 -0.00790839 -0.08161 -0.0815871 9.92348
0.246 0.0148522 -0.013468 -0.0071126 -0.249807 -0.16843 9.68429
0.247 0.0220798 0.0120945 -0.00938636 -0.37351 -0.230633 10.014
0.248 0.00254314 0.00614693 -0.0116145 -0.279953 -0.319525 9.68749
0.249 -0.0109322 0.0195865 0.023194 -0.301304 -0.431704 9.91123
0.25 -0.0103819 0.00244212 -0.0110647 -0.328201 -0.553353 9.95429
0.251 -0.000917414 0.00964746 -0.00791209 -0.179714 -0.440768 9.7756
0.252 0.00430786 -0.0163382 -0.013117 -0.317931 -0.337477 10.0701
0.253 0.00844644 -0.00715861 0.0104744 -0.349226 0.0118852 9.67087
0.254 -0.0118521 0.0253323 -0.00504662 -0.619917 -0.125432 9.89389
0.255 -0.00633559 0.0170457 0.0097931 -0.297857 -0.173325 9.82968
0.256 0.00375295 -0.0014127 0.00967811 -0.0824974 -0.0827621 9.72187
0.257 0.00585939 -0.0135105 -0.0148468 0.0985955 -0.0522995 10.1066
0.258 -0.0161575 0.0136601 -0.00579994 -0.447481 -0.0961689 9.84949
0.259 0.0124824 0.00789369 -0.00171122 -0.0272836 -0.208565 9.93899
0.26 0.0195903 -0.0163733 -0.0129357 -0.383062 -0.0353761 9.71361
0.261 0.00016452 0.0127018 -0.0094113 -0.369572 -0.357107 9.72193
0.262 -0.00146289 0.023769 -0.0111016 -0.102166 -0.0856229 9.80839
0.263 -0.0146422 0.0139935 -0.00620198 -0.365795 -0.356659 9.87786
0.264 -0.0115791 -0.00240668 0.000574532 -0.01148 -0.277585 9.92359
0.265 0.00183078 0.0198068 0.0122219 -0.143509 -0.165284 9.80448
0.266 0.0108306 0.00262874 -0.00873092 -0.455915 -0.0527284 10.1398
0.267 -0.00364793 -0.00995083 0.018021 -0.245198 -0.349389 9.84007
0.268 0.0122002 0.00575067 -0.00473833 -0.362758 -0.335266 9.78796
0.269 -0.0131831 0.00434885 0.00324296 -0.369071 -0.0273838 9.85861
0.27 -9.61577e-05 0.0170379 -0.0241294 -0.0969775 -0.406325 9.81142
0.271 -0.00430468 0.00473104 0.000742481 -0.0406753 -0.367957 9.83544
0.272 -0.00961508 -0.00313643 -0.00433889 -0.295592 -0.229368 9.84776
0.273 0.0009018 0.0190673 -0.00869605 -0.262914 -0.4315 9.88903
0.274 -0.000295389 -0.002956 -0.00303576 -0.166344 -0.193941 9.7217
0.275 -0.000826627 0.014051 -0.00147789 -0.218823 -0.174832 10.0391
0.276 -0.00665339 -0.00152316 0.014456 -0.300851 0.00804235 9.7981
0.277 -0.0237458 0.0118812 -0.0109598 -0.323575 -0.3565 9.89365
0.278 0.0176141 0.0103323 -0.0186713 -0.172556 -0.20991 9.74762
0.279 -0.0164415 0.0110747 -0.00958747 -0.30639 -0.192362 10.0473
0.28 0.00142878 0.00999878 0.00637185 -0.221187 -0.55139 9.92513
0.281 -0.000663163 0.00868498 0.00390388 -0.0963722 -0.191611 9.93483
0.282 -0.00138789 -0.0102065 -0.00509901 -0.0999144 -0.387174 10.0308
0.283 0.00780974 -0.0040641 0.00402243 -0.0846052 -0.0161709 9.90936
0.284 0.00560705 -0.00763323 -0.00195018 -0.382072 -0.24007 9.75288
0.285 0.00775114 -0.00962974 -0.00364646 -0.136851 -0.156152 9.90724
0.286 0.00674033 0.0150779 -0.0201231 -0.278508 -0.344611 9.72672
0.287 0.00962088 0.0192249 -0.00605588 -0.231817 -0.190791 9.82979
0.288 0.00797549 0.0124694 0.00319975 -0.23082 -0.147792 10.0271
0.289 -0.0229509 -0.0190469 -0.00310622 -0.167777 -0.221356 9.62697
0.29 0.00768469 0.0179782 0.0159895 -0.286027 -0.160804 9.82134
0.291 -0.0232141 0.0232262 0.00215327 -0.322201 -0.0396159 9.81553
0.292 -0.00692229 0.00105107 0.0188105 -0.271208 -0.188776 10.1593
0.293 0.00635724 0.0195086 -0.002966 -0.193494 -0.0994755 10.0562
0.294 -0.00222962 -0.0154621 -0.0153621 -0.168516 0.0136351 9.80696
0.295 -0.0047057 0.0194851 0.0253551 -0.324949 -0.00908993 9.76381
0.296 -0.0141846 0.0170548 -0.00414212 -0.300452 -0.107183 10.185
0.297 0.0111577 0.00715854 -0.0115092 -0.228676 0.0494634 9.9584
0.298 -0.0014732 0.0218085 -0.00452846 -0.458016 -0.386461 9.7806
0.299 -0.00340287 0.0189462 -0.00815563 -0.201484 -0.234832 9.98971
0.3 -0.0001949 0.0242468 -0.022285 -0.18406 -0.0631468 10.1018
0.301 -0.0129364 0.0204844 0.0100816 -0.2355 0.0242223 9.81827
0.302 0.0127032 0.0105282 0.00454464 -0.330945 -0.221511 9.84905
0.303 0.0139753 0.00209926 -0.00384344 -0.360898 -0.00695741 9.88102
0.304 -0.00287331 0.0298021 0.0165154 -0.332132 -0.264617 9.74456
0.305 0.00162329 -0.00911684 -0.00547175 -0.145574 -0.169608 10.0425
0.306 -0.00338376 0.0081011 0.00054637 -0.272636 -0.325141 9.66898
0.307 -1.57883e-05 -0.0128777 -0.00581921 -0.326701 -0.268887 10.1318
0.308 0.00876848 -0.00600228 -0.00250455 -0.206997 -0.191818 9.57431
0.309 -0.00154687 0.0124986 0.00342221 -0.234747 -0.115446 10.0545
0.31 -0.00656398 0.00658768 0.0242276 -0.0775595 -0.284811 9.70162
0.311 -0.0108886 -0.0119806 -0.00403041 -0.112785 -0.0290162 9.95126
0.312 -0.00171523 0.0140849 0.0122067 -0.17134 0.0131284 9.70847
0.313 0.00384768 -0.00601616 -0.000507023 -0.391079 -0.265721 9.73827
0.314 0.0140969 -0.00460293 0.00284815 -0.357389 -0.228888 9.85983
0.315 0.0154158 -0.00416731 -0.00151245 0.0156931 -0.175312 9.9192
0.316 0.0102765 0.0157902 0.00698477 -0.0354055 -0.311301 9.8863
0.317 -0.00051537 0.0148299 0.0128824 -0.3609 -0.2306 9.86604
0.318 0.0109614 -0.00576714 -0.00289277 -0.232221 -0.383624 9.99026
0.319 -0.0172553 -0.0131588 0.0202058 -0.458038 -0.164384 9.87331
0.32 -0.0191272 0.0285036 0.00429652 -0.332345 0.0586177 9.79923
0.321 -0.00196106 0.0132441 0.00500679 -0.0493467 0.0403115 9.92073
0.322 0.00907127 0.017639 -0.0170599 -0.311446 -0.0911207 9.70159
0.323 0.00328231 8.17755e-05 0.00241342 -0.186546 -0.204552 10.0428
0.324 0.00407247 0.0110902 -0.0225994 -0.298335 -0.253335 9.83685
0.325 -0.0166618 0.00701413 -0.00836911 0.0444101 -0.0435513 9.63035
0.326 -0.00798491 0.00282427 -0.00554295 -0.114276 -0.262515 10.0202
0.327 -0.00297502 0.00434316 -0.00144703 -0.208506 -0.246488 9.97661
0.328 -0.0107711 0.010585 0.007061 -0.0903205 -0.329682 9.80258
0.329 0.0157579 0.000986418 0.0147106 -0.449072 -0.318675 9.84754
0.33 -0.00296486 0.000549061 0.00685844 -0.306762 -0.173905 9.93386
0.331 -0.00606128 0.00133589 0.0093759 -0.274439 -0.25626 9.95117
0.332 -0.0136832 -0.00381959 -0.0154956 -0.0974105 -0.404494 9.7765
0.333 -0.00446359 0.00454991 -0.00190202 -0.27383 -0.172639 9.65368
0.334 0.00780961 0.011774 0.0122416 -0.114707 -0.196353 9.73216
0.335 -0.00434547 0.0161388 0.00635168 -0.308324 -0.279921 9.78383
0.336 -0.00312712 0.0136804 0.00449703 -0.108884 -0.310596 9.89006
0.337 -0.000567339 0.00803939 -0.00072453 -0.0729027 -0.0746871 9.89817
0.338 -0.00373624 0.0145351 -0.00106901 -0.266772 -0.0912437 9.73744
0.339 -0.00717675 0.00913401 0.00323329 -0.195068 -0.291656 9.96015
0.34 -0.0154498 -0.0017666 0.00527864 -0.192067 -0.129488 9.78141
0.341 -0.00704909 -0.00042101 0.00127432 -0.290536 -0.15436 9.96019
0.342 -0.00155 0.0097728 0.0123432 -0.253329 -0.273495 9.9784
0.343 -0.00138257 0.00600059 0.000272361 -0.309499 -0.209529 9.87571
0.344 0.0237616 0.011478 0.00237819 -0.105928 -0.364836 9.81059
0.345 0.0181632 0.013249 0.00265239 -0.143309 -0.289385 9.82584
0.346 -0.00121651 0.0128184 -0.0146329 -0.277746 -0.239974 10.0944
0.347 -0.00245791 0.015906 0.00531945 -0.263388 -0.299504 10.0101
0.348 -0.00942695 -0.00269028 0.00131043 -0.258957 -0.20732 9.70682
0.349 -0.0216382 0.0149166 -0.00411993 -0.184136 -0.204912 9.93206
0.35 -0.0259553 0.00374068 0.0110522 0.0314462 -0.115301 9.90574
0.351 -0.0113544 0.000889414 -0.00116502 -0.100703 -0.299122 9.87546
0.352 -0.00240218 0.00124771 -0.00758377 -0.15921 -0.247784 10.1176
0.353 -0.0118687 -0.00144639 0.0024163 -0.107497 -0.328513 9.94805
0.354 0.00179208 0.00307789 0.0115435 -0.0200709 -0.136469 10.0386
0.355 -0.0144885 0.00940278 -0.00504477 -0.396049 -0.201668 9.90031
