t x y z yaw pitch roll vx vy vz wx wy wz
0.94 -4.00001 -4 2 0.75 -1.04866e-09 8.99075e-10 -4.00731e-09 4.25133e-09 -3.9339e-09 5.05693e-08 5.97853e-08 9.05099e-13
0.95 -4.00001 -4 2 0.75 -9.40185e-10 1.43283e-09 -3.98441e-09 4.08543e-09 -6.26531e-09 1.45814e-08 2.97281e-08 4.6054e-11
0.961 -4.00001 -4 2 0.75 -8.04171e-10 1.39097e-09 -3.91882e-09 3.88158e-09 -9.35633e-09 -3.20921e-08 -1.27808e-08 1.08888e-10
0.97 -4.00001 -4 2 0.75 -6.86693e-10 9.35375e-10 -3.87043e-09 3.74114e-09 -9.27637e-09 -5.45561e-08 -3.25979e-08 1.52481e-10
0.98 -4.00001 -4 2 0.75 -5.51646e-10 2.21845e-10 -3.86248e-09 3.64367e-09 -7.31646e-09 -6.468e-08 -4.16417e-08 1.64793e-10
0.99 -4.00001 -4 2 0.75 -4.13946e-10 -4.70044e-10 -3.89907e-09 3.61607e-09 -6.69936e-09 -5.2916e-08 -3.02234e-08 4.53063e-11
1.002 -4.00001 -4 2 0.75 -2.47976e-10 -8.93286e-10 -3.98517e-09 3.65346e-09 -7.75796e-09 -1.84707e-08 5.17663e-11 -7.69917e-11
1.01 -4.00001 -4 2 0.75 -1.76282e-10 -8.67467e-10 -4.03357e-09 3.69342e-09 -8.11537e-09 7.79571e-09 1.50324e-08 -4.31061e-10
1.027 -4.00001 -4 2 0.75 -2.30426e-10 -1.80744e-10 -4.10661e-09 3.74631e-09 -6.99264e-09 5.0983e-08 3.41173e-08 -1.3171e-09
1.03 -4.00001 -4 2 0.75 -2.74422e-10 7.53089e-11 -4.11536e-09 3.74179e-09 -6.0055e-09 5.61222e-08 3.63614e-08 -1.44e-09
1.04 -4.00001 -4 2 0.75 -3.92954e-10 7.0829e-10 -4.10879e-09 3.70056e-09 -3.23594e-09 6.33174e-08 3.98289e-08 -1.7121e-09
1.05 -4.00001 -4 2 0.75 -5.40309e-10 1.44379e-09 -4.06516e-09 3.59152e-09 -5.81007e-10 6.11291e-08 3.61608e-08 -1.81087e-09
1.06 -4.00001 -4 2 0.75 -7.14709e-10 2.02533e-09 -3.95685e-09 3.39216e-09 -3.57057e-10 3.67615e-08 1.23633e-08 -1.80705e-09
1.07 -4.00001 -4 2 0.75 -8.58732e-10 2.1561e-09 -3.85367e-09 3.17271e-09 -8.86424e-10 4.77006e-09 -1.16489e-08 -2.0602e-09
1.081 -4.00001 -4 2 0.75 -9.19862e-10 1.85936e-09 -3.7603e-09 2.9273e-09 -1.01371e-09 -3.37958e-08 -3.08262e-08 -2.84862e-09
1.09 -4.00001 -4 2 0.75 -8.53701e-10 1.31759e-09 -3.70918e-09 2.75703e-09 -7.71296e-10 -5.80711e-08 -3.68463e-08 -3.37827e-09
1.101 -4.00001 -4 2 0.75 -6.31411e-10 5.73062e-10 -3.69159e-09 2.61462e-09 1.86919e-11 -6.47564e-08 -2.42667e-08 -3.20382e-09
1.11 -4.00001 -4 2 0.75 -3.78968e-10 1.42413e-10 -3.68774e-09 2.55803e-09 -3.76198e-11 -5.59026e-08 -3.97052e-09 -2.8878e-09
