x y z
0.0445134 -1.81251 1.59952
0.0550674 -1.8079 1.59976
0.0655582 -1.80331 1.60001
0.0759848 -1.79876 1.60028
0.0863463 -1.79423 1.60055
0.0966418 -1.78973 1.60084
0.10687 -1.78526 1.60114
0.117032 -1.78082 1.60144
0.127124 -1.77641 1.60176
0.137148 -1.77203 1.60208
0.147102 -1.76768 1.60242
0.156986 -1.76336 1.60276
0.1668 -1.75907 1.6031
0.176542 -1.7548 1.60345
0.186212 -1.75057 1.60381
0.195811 -1.74636 1.60417
0.205337 -1.74218 1.60453
0.214791 -1.73803 1.6049
0.224172 -1.73391 1.60527
0.233481 -1.72982 1.60564
0.242716 -1.72575 1.60601
0.251878 -1.72172 1.60639
0.260968 -1.71771 1.60676
0.269985 -1.71372 1.60713
0.278929 -1.70977 1.6075
0.2878 -1.70584 1.60786
0.296599 -1.70193 1.60822
0.305326 -1.69806 1.60858
0.313981 -1.6942 1.60894
0.322565 -1.69038 1.60928
0.331078 -1.68658 1.60963
0.339521 -1.6828 1.60996
0.347894 -1.67905 1.61029
0.356198 -1.67532 1.61061
0.364433 -1.67161 1.61092
0.3726 -1.66793 1.61123
0.380701 -1.66427 1.61152
0.388735 -1.66063 1.6118
0.396703 -1.65701 1.61207
0.404607 -1.65342 1.61233
0.412447 -1.64984 1.61258
0.420225 -1.64628 1.61281
0.427941 -1.64275 1.61303
0.435597 -1.63923 1.61324
0.443193 -1.63573 1.61343
0.450731 -1.63225 1.6136
0.458212 -1.62879 1.61376
0.465638 -1.62534 1.6139
0.473009 -1.62191 1.61403
0.480327 -1.6185 1.61414
0.487593 -1.6151 1.61422
0.494809 -1.61171 1.61429
0.501976 -1.60834 1.61434
0.509096 -1.60498 1.61437
0.51617 -1.60163 1.61438
0.5232 -1.5983 1.61437
0.530188 -1.59497 1.61433
0.537134 -1.59166 1.61427
0.544041 -1.58835 1.61419
0.550911 -1.58505 1.61409
0.557745 -1.58177 1.61396
0.564544 -1.57849 1.61381
0.571312 -1.57521 1.61363
0.578049 -1.57194 1.61342
0.584757 -1.56868 1.61319
0.591438 -1.56542 1.61294
0.598095 -1.56217 1.61266
0.604728 -1.55892 1.61234
0.611341 -1.55567 1.61201
0.617934 -1.55242 1.61164
0.62451 -1.54917 1.61124
0.631072 -1.54593 1.61082
0.63762 -1.54268 1.61036
0.644156 -1.53943 1.60988
0.650684 -1.53618 1.60936
0.657205 -1.53292 1.60881
0.663721 -1.52966 1.60824
0.670233 -1.5264 1.60763
0.676745 -1.52313 1.60698
0.683258 -1.51985 1.60631
0.689775 -1.51657 1.6056
0.696297 -1.51328 1.60486
0.702826 -1.50998 1.60409
