t wx wy wz ax ay az
0.206 -0.00898255 0.00884746 0.0142758 -0.165794 -0.10622 9.81771
0.207 0.00308788 -0.00145293 0.0157107 -0.029879 -0.313652 9.67808
0.208 0.0119215 0.00856718 0.00310506 -0.0877175 -0.172269 9.87651
0.209 -0.017968 0.00410279 -0.0163042 -0.144338 -0.0305471 9.83669
0.21 -0.01094 0.015983 0.0203529 -0.301631 -0.330209 9.93383
0.211 0.0258486 -0.00630255 -0.000157216 -0.414159 -0.233173 9.79351
0.212 -0.0169984 0.015766 -0.00672255 -0.311507 -0.143717 9.7084
0.213 0.00105513 0.0180603 0.00823617 0.0702492 -0.25087 10.0414
0.214 -0.00311829 0.00168704 -0.00385922 -0.361626 -0.0996107 9.92376
0.215 -0.005155 0.00598489 0.00126929 -0.43753 -0.125999 9.84649
0.216 0.00618986 -0.00104752 -0.0077925 0.0352292 -0.270472 10.0243
0.217 -0.00969886 -0.00862458 0.00797843 -0.301445 -0.227064 9.98775
0.218 -0.0102882 0.00204825 -0.00539282 -0.243577 -0.230354 9.94707
0.219 0.0109768 0.014949 -0.00266944 -0.206605 -0.284787 9.71167
0.22 -0.0097274 0.00918443 0.0198047 -0.13877 -0.227381 9.70261
0.221 0.00536556 -0.0194031 -0.0112611 -0.194032 -0.220531 10.0115
0.222 -0.00771307 0.0141516 -0.00321554 -0.294323 -0.157815 9.77175
0.223 -0.0153555 0.012539 -0.029695 -0.404285 -0.15116 10.0325
0.224 -0.00863451 0.0365817 0.00378874 -0.424814 -0.112801 9.95381
0.225 0.000908709 -0.0033428 0.0115724 -0.181584 -0.276304 10.031
0.226 0.00010804 0.0001484 0.0035482 -0.213646 -0.226739 10.0494
0.227 -0.00161436 0.0304309 -0.000695234 -0.220111 -0.327001 9.86909
0.228 0.0093437 -0.00754448 0.0117345 -0.209739 -0.313052 9.76373
0.229 -0.0112167 -0.00430544 0.0055138 -0.200464 -0.120523 9.91419
0.23 0.00669471 0.00699484 0.00150268 -0.184159 -0.434088 9.82505
0.231 0.00209854 0.00532314 -0.0112952 -0.0300964 -0.229749 10.0295
0.232 0.00648449 0.00320146 -0.0195848 -0.252238 -0.235864 9.96777
0.233 -0.00315509 -0.0033117 0.00953982 -0.355168 -0.134869 9.80335
0.234 0.00514413 0.0159903 -0.0130793 -0.374786 -0.19635 9.9134
0.235 0.00620986 0.0220606 0.012648 -0.132663 -0.117348 9.90721
0.236 -0.000734058 0.0133512 -0.0147453 0.159413 -0.139714 9.55887
0.241 0.00727979 -0.0158245 0.00564333 -0.353885 -0.0393886 9.59071
0.243 -0.011518 -0.00455561 -0.00447148 -0.312425 -0.152264 9.99368
0.244 -0.0277234 0.0162556 -0.00781923 -0.134791 -0.0639219 9.97253
0.245 -0.0041595 -0.00274109 -0.0109411 -0.128529 -0.27501 9.92139
0.246 -0.00583661 -0.00456554 0.00527314 -0.293328 -0.063349 9.90917
0.247 -0.000290222 0.0112969 -0.00149768 -0.221587 -0.285451 9.88592
0.248 -0.00467819 0.0218623 -0.0101754 -0.265291 -0.21862 9.99928
0.249 0.0195256 0.0104055 0.00833216 -0.323401 -0.194186 9.99157
0.252 0.00676415 0.0219307 -0.0138793 -0.13244 -0.209311 9.89159
